"SizeGB","SizeMB","Path"
"148,88","152457","H:\Games\Cyberpunk.2077.GOG.Rip-InsaneRamZes"
"145,33","148817","H:\Games\Horizon Forbidden West Complete Edition"
"123,4","126360","H:\Games\dl"
"98,52","100881","H:\Games\Horizon Zero Dawn Remastered"
"53,65","54942","H:\Games\Ghost of Tsushima DIRECTORS CUT"
"49,28","50460","H:\Games\Tanki"
"31,1","31843","H:\Games\Need.For.Speed.Heat.Deluxe.Edition.Origin.Rip-InsaneRamZes"
"25,04","25645","H:\Games\StarCraft II"
"19,49","19956","H:\Games\Sid Meiers Civilization VI"
